一  yī
〇	líng
一	yī
乙	yǐ
丁	dīng
七	qī
乃	nǎi
九	jiǔ
了	le
二	èr
人	rén
儿	ér
入	rù
八	bā
几	jǐ
刀	dāo
刁	diāo
力	lì
匕	bǐ
十	shí
卜	bǔ
又	yòu
三	sān
下	xià
丈	zhàng
上	shàng
丫	yā
丸	wán
凡	fán
久	jiǔ
么	mo
也	yě
乞	qǐ
于	yú
亡	wáng
兀	wù
刃	rèn
勺	sháo
千	qiān
叉	chā
口	kǒu
土	tǔ
士	shì
夕	xī
大	dà
女	nǚ
子	zi
孑	jié
孓	jué
寸	cùn
小	xiǎo
尢	wāng
尸	shī
山	shān
川	chuān
工	gōng
己	jǐ
已	yǐ
巳	sì
巾	jīn
干	gān
廾	gǒng
弋	yì
弓	gōng
才	cái
丑	chǒu
丐	gài
不	bù
中	zhōng
丰	fēng
丹	dān
之	zhī
尹	yǐn
予	yú
云	yún
井	jǐng
互	hù
五	wǔ
亢	kàng
仁	rén
什	shén
仃	dīng
仆	pū
仇	chóu
仍	réng
今	jīn
介	jiè
仄	zè
元	yuán
允	yǔn
内	nèi
六	liù
兮	xī
公	gōng
冗	rǒng
凶	xiōng
分	fēn
切	qiē
刈	yì
匀	yún
勾	gōu
勿	wù
化	huà
匹	pǐ
午	wǔ
升	shēng
卅	sà
卞	biàn
厄	è
友	yǒu
及	jí
反	fǎn
壬	rén
天	tiān
夫	fū
太	tài
夭	yāo
孔	kǒng
少	shǎo
尤	yóu
尺	chǐ
屯	tún
巴	bā
幻	huàn
廿	niàn
吊	diào
引	yǐn
心	xīn
戈	gē
户	hù
手	shǒu
扎	zhā
支	zhī
文	wén
斗	dòu
斤	jīn
方	fāng
日	rì
曰	yuē
月	yuè
木	mù
欠	qiàn
止	zhǐ
歹	dǎi
毋	wú
比	bǐ
毛	máo
氏	shì
水	shuǐ
火	huǒ
爪	zhuǎ
父	fù
爻	yáo
片	piàn
牙	yá
牛	niú
犬	quǎn
王	wáng
丙	bǐng
世	shì
丕	pī
且	qiě
丘	qiū
主	zhǔ
乍	zhà
乏	fá
乎	hū
以	yǐ
付	fù
仔	zǐ
仕	shì
他	tā
仗	zhàng
代	dài
令	lìng
仙	xiān
仞	rèn
充	chōng
兄	xiōng
冉	rǎn
册	cè
冬	dōng
凹	āo
出	chū
凸	tú
刊	kān
加	jiā
功	gōng
包	bāo
匆	cōng
北	běi
匝	zā
仟	qiān
半	bàn
卉	huì
卡	kǎ
占	zhàn
卯	mǎo
卮	zhī
去	qù
可	kě
古	gǔ
右	yòu
召	zhāo
叮	dīng
叩	kòu
叨	dāo
叼	diāo
司	sī
叵	pǒ
叫	jiào
另	lìng
只	zhī
史	shǐ
叱	chì
台	tái
句	jù
叭	bā
叻	lè
四	sì
囚	qiú
外	wài
央	yāng
失	shī
奴	nú
奶	nǎi
孕	yùn
它	tā
尼	ní
巨	jù
巧	qiǎo
左	zuǒ
市	shì
布	bù
平	píng
幼	yòu
弁	biàn
弘	hóng
弗	fú
必	bì
戊	wù
打	dǎ
扔	rěng
扒	bā
扑	pū
斥	chì
旦	dàn
术	zhú
本	běn
未	wèi
末	mò
札	zhá
正	zhèng
母	mǔ
民	mín
氐	dī
永	yǒng
汁	zhī
汀	tīng
泛	fàn
犯	fàn
玄	xuán
玉	yù
瓜	guā
瓦	wǎ
甘	gān
生	shēng
用	yòng
甩	shuǎi
田	tián
由	yóu
甲	jiǎ
申	shēn
疋	pǐ
白	bái
皮	pí
皿	mǐn
目	mù
矛	máo
矢	shǐ
石	shí
示	shì
禾	hé
穴	xué
立	lì
丞	chéng
丢	diū
乒	pīng
乓	pāng
乩	jī
亘	gèng
交	jiāo
亦	yì
亥	hài
仿	fǎng
伉	kàng
伙	huǒ
伊	yī
夫	fū
伍	wǔ
伐	fá
休	xiū
伏	fú
仲	zhòng
件	jiàn
任	rèn
仰	yǎng
仳	pǐ
份	fèn
企	qì
汲	jí
光	guāng
凶	xiōng
兆	zhào
先	xiān
全	quán
共	gòng
再	zài
冰	bīng
列	liè
刑	xíng
划	huá
刎	wěn
刖	yuè
劣	liè
匈	xiōng
匡	kuāng
匠	jiàng
印	yìn
危	wéi
吉	jí
吏	lì
同	tóng
吊	diào
吐	tǔ
吁	xū
寸	cùn
各	gè
向	xiàng
名	míng
合	hé
吃	chī
后	hòu
吆	yāo
咤	zhà
因	yīn
回	huí
囝	nān
圳	zhèn
地	dì
在	zài
圭	guī
圬	wū
圯	yí
圩	yú
夙	sù
多	duō
夷	yí
夸	kuā
妄	wàng
奸	jiān
妃	fēi
好	hǎo
她	tā
如	rú
妁	shuò
字	zì
存	cún
宇	yǔ
守	shǒu
宅	zhái
安	ān
寺	sì
尖	jiān
屹	yì
州	zhōu
帆	fān
并	bìng
年	nián
式	shì
弛	chí
忙	máng
忖	cǔn
戎	róng
戌	xū
戍	shù
成	chéng
扣	kòu
扛	gāng
托	tuō
收	shōu
早	zǎo
旨	zhǐ
旬	xún
旭	xù
曲	qū
曳	yì
有	yǒu
朽	xiǔ
朴	pǔ
朱	zhū
朵	duǒ
次	cì
此	cǐ
死	sǐ
氖	nǎi
汝	rǔ
汗	hàn
污	wū
江	jiāng
池	chí
汐	xì
汕	shàn
污	wū
汛	xùn
丸	wán
泛	fàn
灰	huī
牟	móu
牝	pìn
百	bǎi
竹	zhú
米	mǐ
糸	mì
缶	fǒu
羊	yáng
羽	yǔ
老	lǎo
考	kǎo
而	ér
耒	lěi
耳	ěr
聿	yù
肉	ròu
肋	lè
肌	jī
臣	chén
自	zì
至	zhì
臼	jiù
舌	shé
舛	chuǎn
舟	zhōu
艮	gěn
色	sè
艾	ài
虫	chóng
血	xiě
行	xíng
衣	yī
西	xī
阡	qiān
串	chuàn
亨	hēng
位	wèi
住	zhù
伫	zhù
佗	tuó
佞	nìng
伴	bàn
佛	fó
何	hé
估	gū
佐	zuǒ
佑	yòu
伽	qié
伺	sì
伸	shēn
佃	diàn
占	zhàn
似	sì
但	dàn
佣	yòng
作	zuò
你	nǐ
伯	bó
低	dī
伶	líng
余	yú
佝	kòu
布	bù
佚	yì
兑	duì
克	kè
免	miǎn
兵	bīng
冶	yě
冷	lěng
别	bié
判	pàn
利	lì
删	shān
刨	bào
劫	jié
助	zhù
努	nǔ
劬	qú
匣	xiá
即	jí
卵	luǎn
吝	lìn
吭	kēng
吞	tūn
吾	wú
否	fǒu
尺	chǐ
吧	ba
呆	dāi
呃	è
吴	wú
呈	chéng
吕	lǚ
君	jūn
吩	fēn
告	gào
吹	chuī
吻	wěn
吸	xī
吮	shǔn
吵	chǎo
呐	nà
吠	fèi
吼	hǒu
呀	yā
吱	zī
含	hán
吟	yín
听	tīng
囱	cōng
困	kùn
囤	dùn
囫	hú
坊	fáng
坑	kēng
址	zhǐ
坍	tān
均	jūn
坎	kǎn
圾	jí
坐	zuò
坏	huài
圻	qí
壮	zhuàng
夹	jiá
妆	zhuāng
妒	dù
妨	fáng
妞	niū
妣	bǐ
妙	miào
妖	yāo
妍	yán
妤	yú
妓	jì
妊	rèn
妥	tuǒ
孝	xiào
孜	zī
孚	fú
孛	bèi
完	wán
宋	sòng
宏	hóng
尬	gà
局	jú
屁	pì
尿	niào
尾	wěi
岐	qí
岑	cén
岔	chà
岌	jí
巫	wū
希	xī
序	xù
庇	bì
床	chuáng
廷	tíng
弄	nòng
弟	dì
彤	tóng
形	xíng
彷	páng
役	yì
忘	wàng
忌	jì
志	zhì
忍	rěn
忱	chén
快	kuài
忸	niǔ
忪	sōng
戒	jiè
我	wǒ
抄	chāo
抗	kàng
抖	dǒu
技	jì
扶	fú
抉	jué
扭	niǔ
把	bǎ
扼	è
找	zhǎo
批	pī
扳	bān
抒	shū
扯	chě
折	zhé
扮	bàn
投	tóu
抓	zhuā
抑	yì
抆	wèn
改	gǎi
攻	gōng
攸	yōu
旱	hàn
更	gèng
束	shù
李	lǐ
杏	xìng
材	cái
村	cūn
杜	dù
杖	zhàng
杞	qǐ
杉	shān
杆	gān
杠	gāng
杓	sháo
杗	máng
步	bù
每	měi
求	qiú
汞	gǒng
沙	shā
沁	qìn
沈	shěn
沉	chén
沅	yuán
沛	pèi
汪	wāng
决	jué
沐	mù
汰	tài
沌	dùn
汨	mì
冲	chōng
没	méi
汽	qì
沃	wò
汲	jí
汾	fén
汴	biàn
沆	hàng
汶	wèn
冱	hù
沔	miǎn
比	bǐ
沂	yí
灶	zào
灼	zhuó
灾	zāi
灸	jiǔ
牢	láo
牡	mǔ
它	tā
狄	dí
狂	kuáng
玖	jiǔ
甬	yǒng
甫	fǔ
男	nán
甸	diàn
皂	zào
